Timestamp(ms),Current(uA)
14740,15084.318
14750,15069.428
14760,15077.600
14770,15048.496
14780,15044.822
14790,15046.573
14800,15062.836
14810,15043.676
14820,15047.591
14830,15044.506
14840,15053.639
14850,15079.534
14860,15274.167
14870,15228.431
14880,15111.990
14890,14561.650
14900,14858.301
14910,14995.485
14920,15013.373
14930,15027.705
14940,15024.252
14950,15039.138
14960,15052.391
14970,15042.488
14980,15039.073
14990,15088.771
15000,15065.109
15010,15044.404
15020,15054.840
15030,15050.792
15040,15045.543
15050,15051.911
15060,15045.225
15070,15034.890
15080,15033.761
15090,14348.479
15100,14001.909
15110,13642.531
15120,13563.157
15130,13418.998
15140,13368.914
15150,13472.856
15160,11935.464
15170,11330.910
15180,11112.516
15190,11021.165
15200,10994.368
15210,10996.053
15220,10992.985
15230,10980.066
15240,11021.628
15250,11013.011
15260,11000.189
15270,10999.200
15280,10974.453
15290,10984.899
15300,10982.148
15310,11359.543
15320,12233.061
15330,12545.290
15340,12657.639
15350,12716.399
15360,12715.324
15370,12769.547
15380,12739.933
15390,12737.163
15400,12739.888
15410,12749.799
15420,12752.734
15430,12741.602
15440,12737.876
15450,12740.196
15460,12761.109
15470,12740.996
15480,12738.167
15490,12790.048
15500,12765.280
15510,12222.691
15520,12547.854
15530,12709.793
15540,12727.693
15550,12743.940
15560,12743.829
15570,12751.155
15580,12764.346
15590,12755.133
15600,12757.168
15610,12744.557
15620,12798.227
15630,12770.194
15640,12757.623
15650,12748.280
15660,12740.822
15670,12758.423
15680,12734.472
15690,12738.605
15700,12745.730
15710,12208.754
15720,12533.512
15730,12671.196
15740,12749.725
15750,12749.360
15760,12742.792
15770,12729.919
15780,12744.278
15790,12740.116
15800,12726.646
15810,12738.425
15820,12746.111
15830,12749.504
15840,12745.868
15850,12731.133
15860,12780.461
15870,12957.087
15880,12827.731
15890,12778.583
15900,12753.093
15910,12204.629
15920,12542.357
15930,12705.912
15940,12711.077
15950,12729.647
15960,12717.311
15970,12730.527
15980,12754.314
15990,12780.794
16000,12756.033
16010,12757.799
16020,12747.914
16030,12736.900
16040,12735.574
16050,12734.875
16060,12750.673
16070,12755.507
16080,12748.696
16090,12751.197
16100,12730.143
16110,12191.973
16120,12561.491
16130,12656.052
16140,12688.771
16150,12838.719
16160,14234.266
16170,14749.572
16180,14957.132
16190,15041.462
16200,15049.709
16210,15052.736
16220,15060.137
16230,15065.982
16240,15090.458
16250,15074.817
16260,15081.204
16270,15065.882
16280,15068.663
16290,15063.077
16300,15051.044
16310,14170.681
16320,13654.782
16330,13461.501
16340,13467.540
16350,13418.032
16360,13383.900
16370,13425.543
16380,13382.067
16390,13355.621
16400,13357.529
16410,13367.555
16420,13376.577
16430,13366.072
16440,13369.054
16450,13374.755
16460,13373.029
16470,13370.878
16480,13373.030
16490,13424.263
16500,13385.150
16510,13688.660
16520,14592.773
16530,13874.644
16540,13546.706
16550,13421.235
16560,13388.976
16570,13373.446
16580,13367.252
16590,13353.165
16600,13346.913
16610,13353.012
16620,13373.057
16630,13375.633
16640,13367.906
16650,13374.197
16660,13358.293
16670,13364.079
16680,13365.221
16690,13356.610
16700,13374.560
16710,13369.322
16720,13359.533
16730,13664.956
16740,14622.938
16750,13910.246
16760,13558.497
16770,13443.215
16780,13397.982
16790,13373.669
16800,13363.464
16810,13375.821
16820,13380.885
16830,13376.483
16840,13366.196
16850,13377.185
16860,13446.916
16870,13596.933
16880,13437.009
16890,13389.641
16900,13378.042
16910,13373.087
16920,13364.438
16930,13377.001
16940,13353.244
16950,13675.444
16960,14584.990
16970,13873.188
16980,13558.957
16990,13470.121
17000,13407.568
17010,13378.753
17020,13363.951
17030,13344.770
17040,13341.604
17050,13359.283
17060,13370.086
17070,13371.978
17080,13374.882
17090,13372.940
17100,13339.069
17110,13331.264
17120,13373.305
17130,13340.207
17140,13324.662
17150,13480.815
17160,11952.607
17170,11657.063
17180,12335.467
17190,11544.240
17200,11187.810
17210,11070.417
17220,11013.397
17230,11001.986
17240,11036.576
17250,11022.894
17260,10998.026
17270,10997.790
17280,10992.083
17290,10992.894
17300,10998.338
17310,11005.992
17320,11001.537
17330,10991.777
17340,10979.918
17350,10993.709
17360,10999.533
17370,11015.980
17380,11002.259
17390,11299.550
17400,12218.970
17410,11405.670
17420,11122.928
17430,11022.771
17440,10970.833
17450,10949.533
17460,10966.140
17470,10969.329
17480,10962.481
17490,10985.411
17500,10976.503
17510,10963.345
